from,to,letters saved,percentage of word saved,word precedence
transfo,transform,2,0.2222222222222222,7649
transporta,transportation,4,0.2857142857142857,1551
transporti,transporting,2,0.16666666666666666,17281
transpo,transport,2,0.2222222222222222,1746
transparenc,transparency,1,0.08333333333333333,9584
transpa,transparen,3,0.3,
transplanta,transplantation,4,0.26666666666666666,13062
transpl,transplant,3,0.3,11884
translatio,translation,1,0.09090909090909091,2615
translatin,translating,1,0.09090909090909091,18773
translato,translator,1,0.1,9947
transl,translat,2,0.25,
transitiona,transitional,1,0.08333333333333333,11388
transiti,transition,2,0.2,3676
transie,transient,2,0.2222222222222222,12547
transis,transistor,3,0.3,18395
transmis,transmission,4,0.3333333333333333,3163
transmitti,transmitting,2,0.16666666666666666,17578
transm,transmi,1,0.14285714285714285,
transa,transaction,5,0.45454545454545453,3441
transcripti,transcription,2,0.15384615384615385,7812
transcrip,transcript,1,0.1,6939
transcrib,transcribed,2,0.18181818181818182,18162
transcr,transcri,1,0.125,
transce,transcend,2,0.2222222222222222,18969
transexuale,transexuales,1,0.08333333333333333,7153
transe,transexual,4,0.4,7493
transs,transsexual,5,0.45454545454545453,8553
transves,transvestite,4,0.3333333333333333,10839
transver,transverse,2,0.2,19114
transv,transve,1,0.14285714285714285,
transg,transgender,5,0.45454545454545453,18961
transn,transnational,7,0.5384615384615384,19622
trann,tranny,1,0.16666666666666666,4902
tranc,trance,1,0.16666666666666666,7714
traffick,trafficking,3,0.2727272727272727,13029
traf,traffic,3,0.42857142857142855,1434
tram,tramadol,4,0.5,5441
trapp,trapped,2,0.2857142857142857,12175
tras,trash,1,0.2,7948
trage,tragedy,2,0.2857142857142857,9366
tragi,tragic,1,0.16666666666666666,13146
traumat,traumatic,2,0.2222222222222222,15540
trau,trauma,2,0.3333333333333333,9537
traj,trajectory,6,0.6,19868
tryi,trying,2,0.3333333333333333,1428
trustp,trustpass,3,0.3333333333333333,12941
trus,trust,1,0.2,1494
trut,truth,1,0.2,2275
trucki,trucking,2,0.25,12960
truc,truck,1,0.2,2476
trul,truly,1,0.2,3477
trun,trunk,1,0.2,5724
trumpe,trumpet,1,0.14285714285714285,12517
truma,truman,1,0.16666666666666666,16715
treatm,treatment,3,0.3333333333333333,892
treate,treated,1,0.14285714285714285,3347
treatin,treating,1,0.125,8112
treatie,treaties,1,0.125,14625
treas,treasur,2,0.2857142857142857,
treadm,treadmill,3,0.3333333333333333,15450
trento,trenton,1,0.14285714285714285,15364
trenc,trench,1,0.16666666666666666,19280
tremb,trembl,1,0.16666666666666666,4985
treme,tremendous,5,0.5,8773
trekk,trekking,3,0.375,15617
trev,trevor,2,0.3333333333333333,12672
trian,triangle,3,0.375,7434
triat,triathlon,4,0.4444444444444444,17475
tripa,tripadvisor,6,0.5454545454545454,2535
tripl,triple,1,0.16666666666666666,5254
tripo,tripod,1,0.16666666666666666,12290
trimm,trimmed,2,0.2857142857142857,17678
tric,trick,1,0.2,7166
tribuna,tribunal,1,0.125,9373
tribut,tribute,1,0.14285714285714285,7062
triba,tribal,1,0.16666666666666666,7011
triggere,triggered,1,0.1111111111111111,14325
trig,trigger,3,0.42857142857142855,6905
triviu,trivium,1,0.14285714285714285,14466
triv,trivi,1,0.2,
trinid,trinidad,2,0.25,7340
trinit,trinity,1,0.14285714285714285,7381
triu,triumph,3,0.42857142857142855,9499
trilo,trilogy,2,0.2857142857142857,11894
trill,trillion,3,0.375,17178
trist,tristan,2,0.2857142857142857,18445
troublesh,troubleshooting,6,0.4,8432
troub,trouble,2,0.2857142857142857,3123
trous,trousers,3,0.375,11767
tropi,tropical,3,0.375,4361
troph,trophy,1,0.16666666666666666,10422
troo,troop,1,0.2,14988
troj,trojan,2,0.3333333333333333,10471
trolle,trolley,1,0.14285714285714285,13389
trol,troll,1,0.2,17138
tron,trong,1,0.2,14135
terminati,termination,2,0.18181818181818182,6053
terminato,terminator,1,0.1,16986
termino,terminology,4,0.36363636363636365,9889
termi,termin,1,0.16666666666666666,
terme,termed,1,0.16666666666666666,18697
territorie,territories,1,0.09090909090909091,5985
territoria,territorial,1,0.09090909090909091,12842
territ,territor,2,0.25,
terrib,terribl,1,0.14285714285714285,
terrie,terrier,1,0.14285714285714285,10853
terrif,terrific,2,0.25,12243
terrori,terroris,1,0.125,
terro,terror,1,0.16666666666666666,5420
terrac,terrace,1,0.14285714285714285,7613
terrai,terrain,1,0.14285714285714285,9145
terres,terrestrial,5,0.45454545454545453,13731
tere,teresa,2,0.3333333333333333,12658
tert,tertiary,4,0.5,14776
technologie,technologies,1,0.08333333333333333,1407
technologic,technological,2,0.15384615384615385,6471
technol,technolog,2,0.2222222222222222,
technor,technorati,3,0.3,10604
technicall,technically,1,0.09090909090909091,11907
technica,technical,1,0.1111111111111111,775
technici,technician,2,0.2,7157
techniq,technique,2,0.2222222222222222,3844
techr,techrepublic,7,0.5833333333333334,8977
textb,textbook,3,0.375,8616
textur,texture,1,0.14285714285714285,8390
textua,textual,1,0.14285714285714285,16617
texti,textile,2,0.2857142857142857,8425
texan,texans,1,0.16666666666666666,19566
teena,teenage,2,0.2857142857142857,5251
teet,teeth,1,0.2,6278
teamw,teamwork,3,0.375,17140
teame,teamed,1,0.16666666666666666,19629
teachi,teaching,2,0.25,1447
teac,teach,1,0.2,3805
teasp,teaspoon,3,0.375,14628
testin,testing,1,0.14285714285714285,1450
testimoni,testimonials,3,0.25,4463
testim,testimon,2,0.25,
testifi,testified,2,0.2222222222222222,13180
testa,testament,4,0.4444444444444444,7831
testo,testosterone,7,0.5833333333333334,15375
tesc,tesco,1,0.2,12864
telli,telling,2,0.2857142857142857,4760
telle,teller,1,0.16666666666666666,17731
telep,telephon,3,0.375,
telev,television,5,0.5,1614
telecomm,telecommunication,9,0.5294117647058824,12697
teleco,telecom,1,0.14285714285714285,4876
telech,telecharger,5,0.45454545454545453,9958
teles,telescope,4,0.4444444444444444,9783
teleg,telegraph,4,0.4444444444444444,10723
telefo,telefonsex,4,0.4,13325
telefl,teleflora,3,0.3333333333333333,16453
teln,telnet,2,0.3333333333333333,12501
tels,telstra,3,0.42857142857142855,18760
tenne,tennessee,4,0.4444444444444444,2662
tenni,tennis,1,0.16666666666666666,2959
tenden,tendency,2,0.25,10788
tensi,tension,2,0.2857142857142857,7945
tenan,tenant,1,0.16666666666666666,8145
tenac,tenacious,4,0.4444444444444444,16945
tenta,tentative,4,0.4444444444444444,15139
tenu,tenure,2,0.3333333333333333,10482
teno,tenor,1,0.2,15882
tene,tenerife,4,0.5,18878
tempera,temperature,4,0.36363636363636365,1915
templa,template,2,0.25,3198
temporari,temporarily,2,0.18181818181818182,9611
tempor,tempora,1,0.14285714285714285,
tempta,temptation,4,0.4,15229
tempte,tempted,1,0.14285714285714285,18617
tedd,teddy,1,0.2,9357
tehr,tehran,2,0.3333333333333333,16403
tet,tetris,3,0.5,19854
typep,typepad,2,0.2857142857142857,11912
typede,typedef,1,0.14285714285714285,15346
typek,typekey,2,0.2857142857142857,18576
typicall,typically,1,0.1111111111111111,3873
typic,typical,2,0.2857142857142857,3597
typin,typing,1,0.16666666666666666,8375
tyl,tyler,2,0.4,7655
tyn,tyne,1,0.25,13552
tyro,tyrosine,4,0.5,18902
tyra,tyranny,3,0.42857142857142855,19905
tyc,tycoon,3,0.5,15590
tys,tyson,2,0.4,18017
tyi,tying,2,0.4,18092
takeo,takeover,3,0.375,18377
taki,taking,2,0.3333333333333333,1144
tablesp,tablespoons,4,0.36363636363636365,18692
tableto,tabletop,1,0.125,18567
tablew,tableware,3,0.3333333333333333,17949
tabl,table,1,0.2,463
tabo,taboo,1,0.2,13633
taxe,taxes,1,0.2,2380
taxat,taxation,3,0.375,6933
taxab,taxable,2,0.2857142857142857,10766
taxp,taxpayer,4,0.5,10733
taxo,taxonomy,4,0.5,12228
talki,talking,2,0.2857142857142857,2207
talke,talked,1,0.16666666666666666,6362
talkb,talkback,3,0.375,15728
talla,tallahassee,6,0.5454545454545454,13871
talente,talented,1,0.125,8669
talen,talent,1,0.16666666666666666,5169
tali,taliban,3,0.42857142857142855,15615
talb,talbot,2,0.3333333333333333,16516
targete,targeted,1,0.125,5666
targeti,targeting,2,0.2222222222222222,10162
targe,target,1,0.16666666666666666,1583
targu,targus,1,0.16666666666666666,19678
tari,tariff,2,0.3333333333333333,9068
taro,tarot,1,0.2,12435
tasti,tasting,2,0.2857142857142857,12360
tasm,tasmania,4,0.5,11559
tagge,tagged,1,0.16666666666666666,5849
taggi,tagging,2,0.2857142857142857,15829
tapest,tapestry,2,0.25,15158
tappi,tapping,2,0.2857142857142857,18193
tappe,tapped,1,0.16666666666666666,19688
tay,taylor,3,0.5,2915
tanz,tanzania,4,0.5,6748
tanni,tanning,2,0.2857142857142857,10569
tangi,tangible,3,0.375,13538
tand,tandem,2,0.3333333333333333,15629
tany,tanya,1,0.2,18441
taiw,taiwan,2,0.3333333333333333,3516
tailore,tailored,1,0.125,10694
tailo,tailor,1,0.16666666666666666,13460
taile,tailed,1,0.16666666666666666,18190
taip,taipei,2,0.3333333333333333,13165
tamp,tampa,1,0.2,4038
tamif,tamiflu,2,0.2857142857142857,17648
tamm,tammy,1,0.2,17392
taug,taught,2,0.3333333333333333,4331
taur,taurus,2,0.3333333333333333,16814
tatt,tattoo,2,0.3333333333333333,8148
tackli,tackling,2,0.25,19526
tactica,tactical,1,0.125,10296
tact,tactic,2,0.3333333333333333,19679
tacom,tacoma,1,0.16666666666666666,12168
taho,tahoe,1,0.2,9539
tahi,tahiti,2,0.3333333333333333,19234
taji,tajikistan,6,0.6,10759
taw,tawnee,3,0.5,13396
tav,tavern,3,0.5,14563
turni,turning,2,0.2857142857142857,4371
turnov,turnover,2,0.25,10188
turnou,turnout,1,0.14285714285714285,18558
turna,turnaround,5,0.5,17865
turke,turkey,1,0.16666666666666666,2815
turki,turkish,2,0.2857142857142857,5526
turkm,turkmenistan,7,0.5833333333333334,10488
turbi,turbine,2,0.2857142857142857,13228
turbu,turbulence,5,0.5,19646
turt,turtle,2,0.3333333333333333,9687
turq,turquoise,5,0.5555555555555556,13745
turis,turismo,2,0.2857142857142857,16665
tuesd,tuesday,2,0.2857142857142857,1148
tutoria,tutorial,1,0.125,4063
tutorin,tutoring,1,0.125,13807
tut,tutor,2,0.4,10549
tuber,tuberculosis,7,0.5833333333333334,13059
tubi,tubing,2,0.3333333333333333,12735
tubu,tubular,3,0.42857142857142855,19717
tunn,tunnel,2,0.3333333333333333,6859
tunin,tuning,1,0.16666666666666666,7652
tunis,tunisia,2,0.2857142857142857,8107
tung,tungsten,4,0.5,12184
tui,tuition,4,0.5714285714285714,6248
tucs,tucson,2,0.3333333333333333,7213
tucke,tucker,1,0.16666666666666666,11032
tumo,tumor,1,0.2,7687
tumb,tumble,2,0.3333333333333333,17933
tumm,tummy,1,0.2,19442
tuls,tulsa,1,0.2,9516
tuli,tulip,1,0.2,15686
tuv,tuvalu,3,0.5,12799
tus,tuscany,4,0.5714285714285714,13220
tsu,tsunami,4,0.5714285714285714,8796
officiall,officially,1,0.1,7610
offici,official,2,0.25,769
offi,offic,1,0.2,
offere,offered,1,0.14285714285714285,1647
offeri,offering,2,0.25,2311
offensi,offensive,2,0.2222222222222222,6273
offend,offende,1,0.14285714285714285,
offenc,offence,1,0.14285714285714285,10352
offl,offline,3,0.42857142857142855,3362
offse,offset,1,0.16666666666666666,5178
offsh,offshore,3,0.375,6313
offsp,offspring,4,0.4444444444444444,12491
oft,often,2,0.4,865
onese,oneself,2,0.2857142857142857,19380
onli,online,2,0.3333333333333333,79
onco,oncology,4,0.5,11156
onta,ontario,3,0.42857142857142855,2283
ontol,ontology,3,0.375,17151
ong,ongoing,4,0.5714285714285714,4163
onse,onset,1,0.2,11825
onsi,onsite,2,0.3333333333333333,12606
oni,onion,2,0.4,8559
onb,onboard,4,0.5714285714285714,15560
ony,onyx,1,0.25,16066
onw,onwards,4,0.5714285714285714,18066
orderi,ordering,2,0.25,2838
ordere,ordered,1,0.14285714285714285,3673
orde,order,1,0.2,172
ordinar,ordinary,1,0.125,4689
ordinan,ordinance,2,0.2222222222222222,7106
ordinati,ordination,2,0.2,15625
ordinato,ordinator,1,0.1111111111111111,16922
ordi,ordina,2,0.3333333333333333,
originall,originally,1,0.1,2743
originate,originated,1,0.1,14484
originati,originating,2,0.18181818181818182,15159
originato,originator,1,0.1,19982
origi,origin,1,0.16666666666666666,2517
oriente,oriented,1,0.125,4194
orientat,orientation,3,0.2727272727272727,5157
orie,orient,2,0.3333333333333333,14514
oriol,orioles,2,0.2857142857142857,17504
organizationa,organizational,1,0.07142857142857142,5667
organiza,organization,4,0.3333333333333333,1069
organizi,organizing,2,0.2,8243
organisationa,organisational,1,0.07142857142857142,13448
organisa,organisation,4,0.3333333333333333,3373
organiser,organisers,1,0.1,16279
organisi,organising,2,0.2,16712
orgas,orgasm,1,0.16666666666666666,9505
orgi,orgies,2,0.3333333333333333,10264
oran,orange,2,0.3333333333333333,2163
orac,oracle,2,0.3333333333333333,4124
oreg,oregon,2,0.3333333333333333,2220
orla,orlando,3,0.42857142857142855,2969
orle,orleans,3,0.42857142857142855,3542
orche,orchestra,4,0.4444444444444444,5474
orchi,orchid,1,0.16666666666666666,11682
orcha,orchard,2,0.2857142857142857,11761
orc,orch,1,0.25,
orbita,orbital,1,0.14285714285714285,14941
orbi,orbit,1,0.2,9590
orthod,orthodox,2,0.25,11187
orthop,orthopedic,4,0.4,18898
ort,ortho,2,0.4,16152
ornamenta,ornamental,1,0.1,19658
orn,ornament,5,0.625,13686
orp,orphan,3,0.5,19845
ourse,ourselves,4,0.4444444444444444,4918
outsi,outside,2,0.2857142857142857,1189
outst,outstanding,6,0.5454545454545454,3489
outso,outsourcing,6,0.5454545454545454,5484
outpu,output,1,0.16666666666666666,1476
outpa,outpatient,5,0.5,12315
outpo,outpost,2,0.2857142857142857,18832
outdo,outdoor,2,0.2857142857142857,1541
outda,outdated,3,0.375,12661
outle,outlet,1,0.16666666666666666,3447
outlo,outlook,2,0.2857142857142857,3752
outli,outline,2,0.2857142857142857,5439
outla,outlaw,1,0.16666666666666666,17391
outly,outlying,3,0.375,19141
outc,outcome,3,0.42857142857142855,4828
outerw,outerwear,3,0.3333333333333333,12135
oute,outer,1,0.2,5646
outre,outreach,3,0.375,6352
outra,outrageous,5,0.5,17154
outri,outright,3,0.375,18399
outg,outgoing,4,0.5,10757
outfitt,outfitters,3,0.3,17917
outf,outfit,2,0.3333333333333333,11437
outbr,outbreak,3,0.375,13608
outba,outback,2,0.2857142857142857,17730
outbo,outbound,3,0.375,18492
outw,outward,3,0.42857142857142855,16783
outk,outkast,3,0.42857142857142855,18415
outi,outing,2,0.3333333333333333,19449
oug,ought,2,0.4,7623
oun,ounce,2,0.4,13143
otherw,otherwise,3,0.3333333333333333,1544
oth,other,2,0.4,45
otta,ottawa,2,0.3333333333333333,5388
ottom,ottoman,2,0.2857142857142857,19317
otte,otter,1,0.2,19591
oti,otis,1,0.25,18636
overa,overall,2,0.2857142857142857,1024
overv,overview,3,0.375,1346
oversea,overseas,1,0.125,4623
oversig,oversight,2,0.2222222222222222,10113
oversiz,oversized,2,0.2222222222222222,17886
overst,overstock,3,0.3333333333333333,11108
overn,overnight,4,0.4444444444444444,5038
overcomi,overcoming,2,0.2,17540
overco,overcom,1,0.14285714285714285,
overca,overcast,2,0.25,19045
overhe,overhead,2,0.25,7936
overha,overhaul,2,0.25,19454
overti,overtime,2,0.25,11416
overtu,overture,2,0.25,18637
overwhelmi,overwhelming,2,0.16666666666666666,11451
overwhelme,overwhelmed,1,0.09090909090909091,18516
overwh,overwhelm,3,0.3333333333333333,
overwe,overweight,4,0.4,15612
overlapp,overlapping,3,0.2727272727272727,17093
overlan,overland,1,0.125,14062
overlooki,overlooking,2,0.18181818181818182,13870
overlooke,overlooked,1,0.1,15827
overloo,overlook,1,0.125,
overloa,overload,1,0.125,15969
overf,overflow,3,0.375,12224
overr,override,3,0.375,13781
overdo,overdose,2,0.25,16322
overdr,overdrive,3,0.3333333333333333,19573
ovar,ovarian,3,0.42857142857142855,15884
openin,opening,1,0.14285714285714285,2264
openl,openly,1,0.16666666666666666,14212
openb,openbsd,2,0.2857142857142857,15759
openg,opengl,1,0.16666666666666666,17926
openo,openoffice,5,0.5,18155
openn,openness,3,0.375,18812
operatin,operating,1,0.1111111111111111,1269
operationa,operational,1,0.09090909090909091,4106
operatio,operation,1,0.1111111111111111,1388
operativ,operative,1,0.1111111111111111,10302
operato,operator,1,0.125,3026
oper,opera,1,0.2,3947
optionall,optionally,1,0.1,18135
optiona,optional,1,0.125,1983
optio,option,1,0.16666666666666666,1312
optica,optical,1,0.14285714285714285,2924
optimiza,optimization,4,0.3333333333333333,4335
optimizi,optimizing,2,0.2,14627
optimist,optimistic,2,0.2,14412
optimisa,optimisation,4,0.3333333333333333,16676
optima,optimal,1,0.14285714285714285,6025
optimu,optimum,1,0.14285714285714285,9821
opter,opteron,2,0.2857142857142857,19038
opportuniti,opportunities,2,0.15384615384615385,1143
oppor,opportunit,5,0.5,
oppositi,opposition,2,0.2,5348
opposin,opposing,1,0.125,12574
oppon,opponent,3,0.375,9070
oppr,oppression,6,0.6,18851
opi,opinion,4,0.5714285714285714,1470
opr,oprah,2,0.4,14913
opaq,opaque,2,0.3333333333333333,17804
opu,opus,1,0.25,18575
oph,ophthalmology,10,0.7692307692307693,18921
ownersh,ownership,2,0.2222222222222222,3896
owni,owning,2,0.3333333333333333,14697
owi,owing,2,0.4,15714
oldes,oldest,1,0.16666666666666666,4411
oldsm,oldsmobile,5,0.5,14843
oldi,oldies,2,0.3333333333333333,15018
oldh,oldham,2,0.3333333333333333,17705
oldm,oldmedline,6,0.6,18882
olympu,olympus,1,0.14285714285714285,6285
oly,olymp,2,0.4,
olivie,olivier,1,0.14285714285714285,16995
oli,oliv,1,0.25,
olso,olson,1,0.2,13636
olse,olsen,1,0.2,14239
octo,october,3,0.42857142857142855,467
octe,octet,1,0.2,16203
octa,octave,2,0.3333333333333333,16677
oce,ocean,2,0.4,2493
occurren,occurrence,2,0.2,9402
occurri,occurring,2,0.2222222222222222,8666
occupationa,occupational,1,0.08333333333333333,5286
occupat,occupation,3,0.3,4577
occupan,occupancy,2,0.2222222222222222,10447
occupi,occupied,2,0.25,6604
occul,occult,1,0.16666666666666666,18858
occasionall,occasionally,1,0.08333333333333333,6325
occasiona,occasional,1,0.1,8528
occa,occasion,4,0.5,5462
ocl,oclc,1,0.25,5962
ohi,ohio,1,0.25,1682
objectiv,objective,1,0.1111111111111111,3380
objectiona,objectionable,3,0.23076923076923078,10577
objectio,objection,1,0.1111111111111111,12099
obje,object,2,0.3333333333333333,1149
obtaine,obtained,1,0.125,2390
obtaini,obtaining,2,0.2222222222222222,6870
obt,obtain,3,0.5,2583
observati,observation,2,0.18181818181818182,5335
observato,observatory,2,0.18181818181818182,11691
observa,observat,1,0.125,
observi,observing,2,0.2222222222222222,11289
obser,observ,1,0.16666666666666666,
obsessi,obsession,2,0.2222222222222222,15425
obsesse,obsessed,1,0.125,18112
obses,obsess,1,0.16666666666666666,
obsta,obstacle,3,0.375,16522
obstr,obstruction,6,0.5454545454545454,18632
obste,obstetrics,5,0.5,19012
